id,match_id,player_id,round,question_id,selected_option,is_correct,points_earned,response_time_ms,answered_at
04de496e-654f-47f9-8324-4f3fb297a93c,bc52c02f-c108-46d4-b4b3-5d895228e21a,37be48f3-546e-4ffb-803f-653088727118,3,77e5cd8c-4eba-4b69-9d9d-f048cb9179cc,Chatbot,true,143,1462,2026-09-15 17:33:07.341915+00
0509c9aa-5fda-4894-ba7a-79fa7b931aa3,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,bcc918a2-491a-4259-bf1a-4427a1a9fcb6,2,63646d13-8e1d-4252-82d6-388036211e4a,LocalAI,false,0,3201,2026-09-15 18:15:23.574272+00
05666db4-ebc3-4bb3-8465-09ae35399fcf,4f68b92f-e276-4630-a250-9c6c1cf1e6f8,3ff6b5ca-39fe-444d-8332-b52ce6dcb77d,2,6185e924-c1a4-46e8-8036-f78df9338ff4,ElevenLabs,true,143,1401,2026-09-15 19:25:56.914309+00
056dfcd3-e150-427c-9a1b-6b8492ee98b9,144cd33d-4b84-4fab-9d50-e39ca3e1821d,4f6d1aa2-d59b-407a-aa4b-f859443e6d25,3,491bd851-637b-4861-ac7c-7ee9074f3a26,Neural Network,true,134,3208,2026-09-16 11:53:58.297279+00
0596fa18-2b0f-4a25-a18e-4fb14ccb1a42,8203b2f9-5954-4281-ac8a-c3a4014c0314,d9ee90d3-84bd-4de0-a34b-ab9f092ec519,3,533f554b-c14f-4c4c-b61c-f8fab9c1ac86,Gaming Bot,false,0,6612,2026-09-16 10:30:03.115818+00
059c4115-3c4a-4763-b5b8-45ef690783e5,144cd33d-4b84-4fab-9d50-e39ca3e1821d,8e9a892b-7b12-4f34-8d89-fde7112dcd1a,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,143,1454,2026-09-16 11:51:37.380258+00
05cedc61-a2ec-48ba-868a-c321334ae58f,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,250adf3d-9d17-47ad-8add-9edbb97e86ab,2,357a5f4d-442e-4fba-a909-0de49f548e87,Grok,true,141,1785,2026-09-16 07:34:51.104448+00
05d3dac8-9c06-4a20-92f7-12a09b974469,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,cec3f541-6991-43c2-80d8-1abf0995d8dc,3,491bd851-637b-4861-ac7c-7ee9074f3a26,Brainstorming,false,0,3437,2026-09-15 18:16:16.84513+00
05e99eb6-343c-4979-ae47-165c245eb773,264bc89b-c05e-418b-8581-e7ef030090b9,8e1d2076-a8b9-4f4e-9924-59e7ddfbf9f9,3,791d445f-3889-4c28-8209-a471b2d254a6,Multi-Agent System,true,137,2699,2026-09-15 18:06:44.527188+00
063a586d-a75f-4948-b3e8-d03b72ee83b4,144cd33d-4b84-4fab-9d50-e39ca3e1821d,3fb948bb-52a1-4303-a014-238fbf16d523,3,979f7aee-460a-4876-ad4f-e86bab5ddcae,Smart Medicine,false,0,3959,2026-09-16 11:53:39.544213+00
066ba85c-6a86-421b-952c-786a2bcf5376,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,e5b1db90-56e0-41ef-86d0-664b3be3d38a,1,76f59b49-2933-4d17-a018-ec3398e94698,ai,true,130,4079,2026-09-16 07:33:08.361472+00
066bcf35-ab33-45d1-a36a-761ed6ca317a,144cd33d-4b84-4fab-9d50-e39ca3e1821d,225fd83a-3774-4351-8528-4e4da935134e,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,139,2104,2026-09-16 11:51:37.923858+00
068d3ae5-4a50-4d72-b235-5fcc409b4a3f,8203b2f9-5954-4281-ac8a-c3a4014c0314,d9ee90d3-84bd-4de0-a34b-ab9f092ec519,3,b3f1a2c5-3752-4055-89cf-f868d44d6c94,Infographic,false,0,7257,2026-09-16 10:30:23.781425+00
0690aa1b-7ba2-4614-8612-fb1d9506f096,8c94b08a-6f86-4e05-816f-78fe60450f4b,3b74d600-e6c2-48fa-a152-681f713825cb,3,17d07c46-832b-4fed-8d14-5c6ff33381cb,AI Video Generation,true,117,6653,2026-09-16 08:24:10.805903+00
06c0ac05-f981-4404-b7c7-e8128e038f7a,8c94b08a-6f86-4e05-816f-78fe60450f4b,2e9b0586-40a1-4f5f-8480-8249b5ae2e2a,1,c91b3106-5017-499d-bb2c-1070ec5d033d,ai,true,129,4226,2026-09-16 08:21:48.259377+00
06d5755d-738c-45ca-9524-581ce9e65967,8c94b08a-6f86-4e05-816f-78fe60450f4b,6b62e577-fb26-4f23-b7ed-762f3c5e0d68,3,791d445f-3889-4c28-8209-a471b2d254a6,Multi-Agent System,true,121,5833,2026-09-16 08:24:29.453432+00
071580b8-7ec4-4862-a27d-557f95f84623,bc52c02f-c108-46d4-b4b3-5d895228e21a,6c803b0a-d4f5-4e6d-a083-5ee08c7d6bad,1,0463a4a2-50f0-482f-971a-22e359942d64,ai,true,144,1233,2026-09-15 17:30:47.793112+00
075f8ab5-27d3-4608-9443-c61a7a285f2c,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,efdb5e4e-d841-489e-807c-41a1e96fa25c,2,0d759c4b-ffb6-4c0a-8baf-323116684d6f,Perplexity,true,140,1983,2026-09-16 07:35:01.030887+00
07b51f41-70e8-4a80-aff4-765bac47377c,bc52c02f-c108-46d4-b4b3-5d895228e21a,2e431faf-f302-4d93-a698-a10170dfbcc7,1,c91b3106-5017-499d-bb2c-1070ec5d033d,ai,true,133,3367,2026-09-15 17:30:20.435572+00
07b7774b-8f72-4efa-80e6-9d25756522f8,62492d4b-cec1-42d7-ac95-35d1b7595022,ccc145e6-6b18-452a-875e-26d12d6046d4,2,357a5f4d-442e-4fba-a909-0de49f548e87,Grok,true,142,1669,2026-09-15 18:51:35.58552+00
07cb9515-28a4-41d8-b2a2-5d142446fd65,e73ffce7-e431-4e8a-9865-6b786403be63,4957c8f1-3943-4749-8a87-2307b7478984,3,d9f1ec25-b5cd-4395-884a-b106c310e7cb,Autonomous Driving,true,104,9248,2026-09-15 17:24:05.666558+00
07e2e561-22ff-4533-a383-53eaadc31254,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,efdb5e4e-d841-489e-807c-41a1e96fa25c,1,0463a4a2-50f0-482f-971a-22e359942d64,real,false,0,2111,2026-09-16 07:33:36.352731+00
08388877-8ccf-4520-9481-7fd635a8a901,bc52c02f-c108-46d4-b4b3-5d895228e21a,61382c64-6aff-4f8b-9c34-588b19bb3ee2,1,0463a4a2-50f0-482f-971a-22e359942d64,real,false,0,4149,2026-09-15 17:30:51.919047+00
083d4394-6ec6-49ca-acf2-3533990eae3d,a463d15d-0e6c-41cd-b251-deeb87d8c85c,daf04c0b-8c56-49ad-8bf2-624820f3b3db,2,63646d13-8e1d-4252-82d6-388036211e4a,Ollama,true,141,1738,2026-09-15 17:18:05.366383+00
0879789e-4f35-4aa4-92c0-8612c4d5403a,8c94b08a-6f86-4e05-816f-78fe60450f4b,f3b3bc83-e5b6-4f69-87dc-6246d959ed08,3,5ba8fb1a-5342-4e59-b819-6b101c8ad3a9,Voice Assistant,true,148,403,2026-09-16 08:23:54.43336+00
088b3d62-5e51-46dc-aec0-ec0d8ae165c8,8203b2f9-5954-4281-ac8a-c3a4014c0314,c2e4b832-bdfc-4e27-a65f-77ccd7d880c6,2,c458e139-4604-4cd5-9d60-9f8f4920633e,Siri,true,110,8040,2026-09-16 10:29:02.529364+00
09037c58-1f0f-4014-b9fc-99b12d5edb3c,8203b2f9-5954-4281-ac8a-c3a4014c0314,c2e4b832-bdfc-4e27-a65f-77ccd7d880c6,2,455f16c6-9cb3-48e1-a556-241ab18a192e,Copilot,true,121,5871,2026-09-16 10:28:40.357245+00
0910b576-2e1c-454e-9c3f-9dc86513cb5b,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,66b077b0-39a9-4e2f-a763-fd3af7b7704c,2,28631c4e-2145-4ced-9b18-60d512d9d5fc,Gemini,true,143,1470,2026-09-16 07:34:31.39307+00
09298340-c7b2-476f-ac15-269942e44f12,8c94b08a-6f86-4e05-816f-78fe60450f4b,2e9b0586-40a1-4f5f-8480-8249b5ae2e2a,1,85a0a9ff-0c61-4289-8dbb-e585861cabbf,ai,true,113,7429,2026-09-16 08:22:11.362691+00
09726ba1-d0e1-41ad-836c-d458d8a7955b,bc52c02f-c108-46d4-b4b3-5d895228e21a,1777f439-c252-418f-9a87-772e9adcea94,3,333be725-ce08-4f8a-ac8d-ef8e16a09409,Jigsaw Puzzle,false,0,1381,2026-09-15 17:32:45.545399+00
0999de57-df53-40b0-9924-7a61b7c43e13,264bc89b-c05e-418b-8581-e7ef030090b9,8e1d2076-a8b9-4f4e-9924-59e7ddfbf9f9,2,19456a3d-6562-405c-90ee-00e3b4958f89,Firefly,true,141,1754,2026-09-15 18:06:11.789286+00
09cd5f2a-2f6a-42a3-937e-6ce2a04934bd,e73ffce7-e431-4e8a-9865-6b786403be63,d53474eb-7947-4ddc-87da-3e14bbd22334,2,efeed5b6-1551-46f5-8ad6-547a8c1b654e,Kling,false,0,8626,2026-09-15 17:22:20.959686+00
09db4052-e22b-4ee1-9e33-89803ee363ac,e73ffce7-e431-4e8a-9865-6b786403be63,704895b2-b1d8-42e2-aa15-6ec66bc6680d,3,b74cca07-f5e9-48a7-81e2-6f7971a4d6a2,AI Safety & Alignment,true,116,6788,2026-09-15 17:23:43.590042+00
0a0745c3-7cfb-4b32-8a39-c010a1528239,8203b2f9-5954-4281-ac8a-c3a4014c0314,c2e4b832-bdfc-4e27-a65f-77ccd7d880c6,1,aa5ea55b-56c2-4828-824c-110e1ffa1392,real,false,0,8548,2026-09-16 10:28:09.426277+00
0a3d5fd2-1dab-4a2e-b62e-9345a9e4db35,bc52c02f-c108-46d4-b4b3-5d895228e21a,6ce386b0-8111-4fd0-8cca-7f246e32f801,1,3bba083c-ae4f-405b-8732-d904bae2f299,ai,true,141,1838,2026-09-15 17:30:38.39169+00
0a8d4e0a-33b5-4eab-bbea-a4dc4dc4e8e2,8203b2f9-5954-4281-ac8a-c3a4014c0314,bcd6c029-51b6-48fb-8cba-02c02c697927,2,c458e139-4604-4cd5-9d60-9f8f4920633e,Alexa,false,0,9308,2026-09-16 10:29:03.811251+00
0a8d5e43-50ff-4fcd-997d-784b3f00392c,264bc89b-c05e-418b-8581-e7ef030090b9,ffa024a6-74bf-48af-8bf4-3a78adb3896b,3,5ba8fb1a-5342-4e59-b819-6b101c8ad3a9,Robot Singer,false,0,3345,2026-09-15 18:06:34.745381+00
0b527690-930a-46e3-b90b-a225dfa948bb,bc52c02f-c108-46d4-b4b3-5d895228e21a,8d517b7c-a588-4286-8a35-10dec02717b0,3,6ceb370b-0a49-429b-bd13-bc61b51acf12,AI Music Generator,true,127,4543,2026-09-15 17:33:18.282171+00
0b6201a2-9b30-4ef0-a6d6-dce50d0868f8,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,d0732cde-dc2a-4c24-bd75-8e83375a189f,1,c1b8ea0b-512d-46ac-b9fe-8a0c40dcea2a,ai,true,130,3928,2026-09-16 07:33:28.187384+00
0b7cc748-7d83-4729-b0e7-256561daaf59,8203b2f9-5954-4281-ac8a-c3a4014c0314,bcd6c029-51b6-48fb-8cba-02c02c697927,3,533f554b-c14f-4c4c-b61c-f8fab9c1ac86,Arcade Game,false,0,5536,2026-09-16 10:30:01.654986+00
0b914009-610a-4a9e-89b3-1162f8d3be83,8203b2f9-5954-4281-ac8a-c3a4014c0314,c25a1d4f-7aca-4a5b-9069-e7a49d4090e5,3,533f554b-c14f-4c4c-b61c-f8fab9c1ac86,Reinforcement Learning,true,109,8228,2026-09-16 10:30:05.240239+00
0bc58cb8-85fe-418c-82df-66dd225d9822,bc52c02f-c108-46d4-b4b3-5d895228e21a,61382c64-6aff-4f8b-9c34-588b19bb3ee2,3,6ceb370b-0a49-429b-bd13-bc61b51acf12,AI Music Generator,true,121,5720,2026-09-15 17:33:21.081484+00
0bddb31b-e9c7-40b2-a829-2c7b5dd36d89,00d28983-7122-4446-8521-20d968b095c2,b2f16744-9aaa-496e-b59a-c704f4fc8957,1,c1b8ea0b-512d-46ac-b9fe-8a0c40dcea2a,ai,true,140,2059,2026-09-15 16:15:41.045819+00
0be5e0e1-0312-4bab-8191-56c40cc14242,4f68b92f-e276-4630-a250-9c6c1cf1e6f8,eb24fcfb-2546-447b-9ecd-5deb700e02b2,3,533f554b-c14f-4c4c-b61c-f8fab9c1ac86,Gaming Bot,false,0,4024,2026-09-15 19:27:55.856472+00
0bf510e2-e2d1-49e8-8078-310fdeea5063,bc52c02f-c108-46d4-b4b3-5d895228e21a,fb59a26d-3725-4042-b1df-eefd4757e012,2,0d759c4b-ffb6-4c0a-8baf-323116684d6f,Perplexity,true,137,2564,2026-09-15 17:32:00.233498+00
0c1f366a-e3ac-4b05-baa5-82e74dc2aeeb,00d28983-7122-4446-8521-20d968b095c2,b2f16744-9aaa-496e-b59a-c704f4fc8957,3,b74cca07-f5e9-48a7-81e2-6f7971a4d6a2,Firewall,false,0,9007,2026-09-15 16:18:18.350229+00
0c54c5c5-25fd-4959-89c8-922ee1321bec,8c94b08a-6f86-4e05-816f-78fe60450f4b,6b62e577-fb26-4f23-b7ed-762f3c5e0d68,2,b0816a00-6d7c-4d43-81f4-3e4c906d237b,LangChain,true,136,2744,2026-09-16 08:23:09.247084+00
0c6a0b66-d151-4037-9133-9736f8ce2841,8c94b08a-6f86-4e05-816f-78fe60450f4b,7e7ea678-fba6-41cc-a725-2675500ceead,2,19456a3d-6562-405c-90ee-00e3b4958f89,Express,false,0,4584,2026-09-16 08:22:42.096308+00
0c92e641-ab74-4029-b6fa-f42a7b0ee230,8203b2f9-5954-4281-ac8a-c3a4014c0314,bcd6c029-51b6-48fb-8cba-02c02c697927,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,AI Copywriter,true,116,6845,2026-09-16 10:29:52.945726+00
0ca92ac4-8200-43e0-b0b1-df32758e93db,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,94f5606d-9099-46a6-ad3d-7ca22fe09547,1,c1b8ea0b-512d-46ac-b9fe-8a0c40dcea2a,real,false,0,5854,2026-09-16 07:33:30.137113+00
0ccb9239-521f-4751-8f8d-dfb9c4d61a15,8c94b08a-6f86-4e05-816f-78fe60450f4b,6eff57af-4564-4ba8-9776-5d3e11000f9b,2,c155857e-ccef-4405-b7b3-ea2c7e1c379e,Claude,true,142,1579,2026-09-16 08:22:48.69186+00
0cf9d215-d9f5-481b-8342-f7690bb5bb84,264bc89b-c05e-418b-8581-e7ef030090b9,7bfe5e68-6355-48d9-b6cc-68b0f5e81db5,1,1a13fa30-752c-44d6-9ad1-64b3898bd2a6,ai,true,133,3382,2026-09-15 18:04:35.865488+00
0dbffc29-8f5a-488d-9282-e52ea4bbdad3,1d656a24-a6d3-4e9d-a6ce-293e1f039e85,505c323c-dcfe-437f-b307-3df2c6f02d9d,1,9fff14db-911c-4ec5-abca-50f082cadfff,ai,true,142,1689,2026-09-15 20:31:14.142917+00
0dd92abf-78d6-49dc-95a5-9c64dfac5bcf,144cd33d-4b84-4fab-9d50-e39ca3e1821d,829a31b1-612f-4fbd-b188-c7cdbd05149b,2,63646d13-8e1d-4252-82d6-388036211e4a,Ollama,true,124,5125,2026-09-16 11:52:42.402534+00
0dda1cb2-426b-4a07-ba79-ea1e8f82c891,bc52c02f-c108-46d4-b4b3-5d895228e21a,36cc7195-31e6-4ad5-8d9c-20f76988aeae,3,6ceb370b-0a49-429b-bd13-bc61b51acf12,AI Music Generator,true,132,3549,2026-09-15 17:33:16.682089+00
0de9b4c0-e8c9-4f38-90d8-95640a42a426,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,cec3f541-6991-43c2-80d8-1abf0995d8dc,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,143,1463,2026-09-15 18:14:35.485642+00
0e422e17-bad7-4754-9a00-e07d2dbc3ad9,8c94b08a-6f86-4e05-816f-78fe60450f4b,7b1d3b10-ae4e-4eeb-8aa8-0496296f04a3,2,b0816a00-6d7c-4d43-81f4-3e4c906d237b,LangChain,true,137,2542,2026-09-16 08:23:09.909834+00
